Code Size (B),Execution Time (µs),Memory Usage (KB)
1753,2205,25344
201,318,23904
140,287,24192
1018,2419,25632
420,1168,25056
544,349,24480
7313,25293,31104
270,393,24192
3724,6505,26784
644,441,24768
2393,3968,25920
288,372,24192
3815,3263,26208
203,446,24192
4826,14759,29952
87,272,24192
87,236,23904
1392,2642,25632
230,315,24480
6107,10591,27936
1612,2003,26208
849,1802,25920
1904,2171,26208
556,1064,25920
1714,1190,25344
11325,18556,31392
1993,1580,25632
2045,2681,26496
590,409,24192
1677,2400,25920
2037,746,24480
87,282,24192
281,333,23904
440,365,24192
1159,1176,25632
651,736,24768
143,316,23904
770,1350,23904
5753,10433,27936
1333,700,24768
432,420,24480
1725,2876,26784
560,1398,25920
474,941,25344
1696,2558,26208
734,1017,25632
522,981,25056
314,651,24768
315,707,25632
227,345,24768
178,344,24192
5865,5631,28512
4621,6394,28224
4390,4087,26496
780,413,23904
543,895,24192
87,274,23904
225,282,24480
7481,13973,28800
4707,5684,28224
2591,3609,26496
1053,2351,26208
2244,3439,26496
230,389,24480
2244,1894,25920
4536,2841,25920
853,484,24480
186,305,23904
263,579,24768
2391,4165,27360
3638,5175,27360
1649,1338,25632
15443,26260,33408
809,383,24480
5954,12357,29376
3095,6764,28224
4650,8758,28512
9380,18996,30528
391,400,24480
